Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,3.818,351.471,0
0,0,0,359.57,0.744,0
0,0,0,356.858,9.744,0
0,0,0,356.585,13.785,0
0,0,0,351.98,22.785,0
0,0,0,350.394,32.058,0
0,0,0,348.311,39.099,0
0,0,0,344.914,51.099,0
0,0,0,343.328,59.265,0
0,0,0,343.328,59.811,0
0,0,0,343.055,60.902,0
0,0,0,343.055,61.174,0
0,0,0,343.055,61.174,0
0,0,0,343.055,61.72,0
0,0,0,343.055,63.034,0
0,0,0,343.055,63.034,0
0,0,0,343.055,63.034,0
0,0,0,343.055,63.034,0
0,0,0,343.055,63.034,0
0,0,0,343.055,63.034,0
0,0,0,345.137,63.307,0
0,0,0,346.997,63.852,0
0,0,0,348.311,63.852,0
0,0,0,349.625,64.125,0
0,0,0,350.171,64.125,0
0,0,0,350.443,64.125,0
0,0,0,350.716,64.125,0
0,0,0,350.716,64.125,0
0,0,0,350.716,64.125,0
0,0,0,350.989,64.125,0
0,0,0,351.261,61.413,0
0,0,0,351.534,60.099,0
0,0,0,352.08,58.016,0
0,0,0,352.08,56.926,0
0,0,0,352.08,55.339,0
0,0,0,352.08,54.521,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,352.08,54.248,0
0,0,0,349.997,63.248,0
0,0,0,346.328,78.746,0
0,0,0,343.699,90.746,0
0,0,0,340.303,102.746,0
0,0,0,339.485,110.078,0
0,0,0,339.485,117.41,0
0,0,0,339.485,122.576,0
0,0,0,339.212,129.908,0
0,0,0,340.03,140.241,0
0,0,0,340.575,141.555,0
0,0,0,341.394,144.679,0
0,0,0,343.253,147.307,0
0,0,0,345.692,147.852,0
0,0,0,350.006,149.166,0
0,0,0,350.551,149.439,0
0,0,0,351.097,149.439,0
0,0,0,351.37,149.439,0
0,0,0,352.956,151.026,0
0,0,0,356.437,158.067,0
0,0,0,359.561,169.233,0
0,0,0,0.651,180.399,0
0,0,0,0.651,183.027,0
0,0,0,0.651,188.194,0
0,0,0,0.651,196.36,0
0,0,0,0.379,200.881,0
0,0,0,0.379,200.881,0
0,0,0,0.379,200.881,0
0,0,0,0.379,200.881,0
0,0,0,0.379,200.881,0
0,0,0,0.379,200.881,0
0,0,0,0.379,200.881,0
0,0,0,0.379,200.881,0
0,0,0,0.379,200.881,0
0,0,0,0.379,200.881,0
