Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z
0.029,-0.018,-0.086,354.121,359.341,4.197
0.029,-0.018,-0.086,354.121,359.341,4.197
0.029,-0.018,-0.086,354.121,359.341,4.197
0.029,-0.018,-0.086,354.121,359.341,4.197
0.029,-0.018,-0.086,354.121,359.341,4.197
0.029,-0.018,-0.086,354.121,359.341,4.197
0.029,-0.018,-0.086,354.121,359.341,4.197
0.029,-0.018,-0.086,354.121,359.341,4.197
0.029,-0.018,-0.086,354.121,359.341,4.197
0.068,-0.006,-0.091,344.932,18.11,359.578
0.068,-0.006,-0.091,344.932,18.11,359.578
0.068,-0.006,-0.091,344.932,18.11,359.578
0.074,-0.008,-0.09,345.497,21.429,359.359
0.074,-0.008,-0.09,345.497,21.429,359.359
0.083,-0.012,-0.09,348.422,26.563,358.696
0.083,-0.012,-0.09,348.422,26.563,358.696
0.089,-0.013,-0.091,350.447,29.796,358.898
0.093,-0.014,-0.091,350.964,31.25,359.252
0.093,-0.014,-0.09,351.206,31.126,359.307
0.093,-0.014,-0.09,351.263,30.878,359.309
0.093,-0.014,-0.09,351.314,30.403,359.252
0.092,-0.014,-0.088,351.218,29.726,359.243
0.093,-0.016,-0.085,351.023,28.51,359.084
0.09,-0.014,-0.081,351.674,27.196,359.141
0.088,-0.013,-0.075,352.28,24.933,359.154
0.086,-0.014,-0.067,353.098,21.474,359.235
0.087,-0.015,-0.061,353.053,19.869,359.104
0.088,-0.014,-0.053,353.433,16.934,358.133
0.09,-0.013,-0.048,353.345,16.539,357.742
0.097,-0.015,-0.04,353.363,16.273,357.381
0.103,-0.016,-0.034,353.775,16.182,357.211
0.117,-0.018,-0.023,354.694,14.955,357.403
0.132,-0.016,-0.011,354.341,12.765,356.859
0.136,-0.016,-0.007,354.23,12.281,356.72
0.153,-0.017,0.006,353.69,10.716,355.255
0.162,-0.016,0.013,353.741,9.319,354.643
0.196,-0.017,0.038,352.95,5.12,352.817
0.21,-0.017,0.047,352.92,3.824,352.478
0.231,-0.019,0.061,352.63,1.727,352.612
0.263,-0.017,0.082,351.969,359.365,351.763
0.297,-0.017,0.104,350.839,357.254,351.89
0.304,-0.017,0.109,350.53,356.873,351.851
0.318,-0.019,0.121,350.144,355.58,351.879
0.343,-0.02,0.149,350.63,352.495,350.977
0.351,-0.018,0.159,351.221,350.412,350.648
